City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
158,Pochutla,MX,79.83,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
159,Muisne,EC,74.68,overcast clouds,0.6,-80.0333,Quinta Samay
160,Husavik,IS,41.05,light rain,66.0449,-17.3389,Bjarnabúð
162,Port Elizabeth,ZA,63.1,broken clouds,-33.918,25.5701,39 On Nile Guest House
165,Souillac,MU,71.98,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
166,Lompoc,US,60.94,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
167,Meulaboh,ID,75.97,overcast clouds,4.1363,96.1285,Kost Pria
168,Jasper,US,64.38,overcast clouds,37.2001,-94.3502,Guest House Motel
170,Tomatlan,MX,72.9,few clouds,19.9333,-105.25,El Salvial
171,Portland,US,48.81,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
172,Kousseri,CM,78.28,clear sky,12.0769,15.0306,Le Pilotis
173,Kotido,UG,69.67,broken clouds,2.9806,34.1331,Loware Joseph Mukasa's Residence
175,Laguna,US,55.9,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
176,Llanes,ES,56.89,clear sky,43.4198,-4.7549,Hotel La Paz
177,Trinidad,BO,79.63,clear sky,-14.8333,-64.9,Hotel Piesta
178,Maragogi,BR,76.28,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
180,Axim,GH,77.68,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
181,San Patricio,US,77.9,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
182,Bay Roberts,CA,45.34,broken clouds,47.5999,-53.2648,Stonewall Inn
183,Ixtapa,MX,78.03,clear sky,20.7,-105.2,hotel la terminal
184,North Bend,US,47.16,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
185,Saldanha,ZA,59.76,clear sky,-33.0117,17.9442,Blue Bay Lodge
186,Mar Del Plata,AR,65.08,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
187,Pontianak,ID,78.78,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
188,San Quintin,MX,61.0,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
189,Beloha,MG,72.64,clear sky,-25.1667,45.05,
190,Deder,ET,53.56,overcast clouds,9.3167,41.45,Ayube Hotel
191,Olafsvik,IS,41.47,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
192,Fort Smith,US,73.44,overcast clouds,35.3859,-94.3986,Hampton Inn Fort Smith
193,Saint-Francois,FR,44.67,fog,46.4154,3.9054,Maison Vin d'Hus
194,Chifeng,CN,47.39,overcast clouds,42.2683,118.9636,Junyu Tiancheng Hotel
195,Hastings,GB,59.79,overcast clouds,50.8552,0.5729,Zanzibar Hotel
197,Saint-Pierre,RE,76.57,few clouds,-21.3393,55.4781,Alize Plage
198,Kitami,JP,44.11,clear sky,43.8031,143.8908,Toyoko INN Kitami Ekimae
199,Noumea,NC,78.78,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
200,Bambous Virieux,MU,71.85,few clouds,-20.3428,57.7575,Casa Tia Villa
201,Yeppoon,AU,78.58,clear sky,-23.1333,150.7333,Villa Mar Colina
202,Tezu,IN,63.61,clear sky,27.9167,96.1667,Circuit House
203,Camacha,PT,63.82,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
204,Aswan,EG,65.34,clear sky,24.0934,32.907,Nuba Nile
205,Hervey Bay,AU,78.03,clear sky,-25.2986,152.8535,Shelly Bay Resort
206,Medianeira,BR,64.53,overcast clouds,-25.2953,-54.0939,Martinhago Hotel
208,Barra Patuca,HN,77.58,clear sky,15.8,-84.2833,
209,Payyannur,IN,74.88,clear sky,12.1,75.2,Kavvayi Beach House
211,Vestmannaeyjar,IS,45.14,overcast clouds,63.4427,-20.2734,Glamping & Camping
212,Grindavik,IS,41.47,clear sky,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
214,Daura,NG,73.17,overcast clouds,11.5538,11.4085,
216,Kruisfontein,ZA,60.89,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
217,Benguela,AO,72.75,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
225,Mindelo,CV,76.55,broken clouds,16.8901,-24.9804,Hotel Gaudi
227,Balkanabat,TM,51.78,overcast clouds,39.5108,54.3671,Nebitchi Hotel
231,Sao Miguel Do Araguaia,BR,72.43,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
